country,date,tot_cases,cumulative_cases,days_elapsed,end_date,end_label
France,2020-05-06,275,25812,60,FALSE,NA
Turkey,2020-05-06,64,3584,45,FALSE,NA
UK,2020-05-06,627,43167,59,FALSE,NA
China,2020-05-07,2,4701,106,FALSE,NA
France,2020-05-07,179,25991,61,FALSE,NA
Turkey,2020-05-07,57,3641,46,FALSE,NA
UK,2020-05-07,631,43798,60,FALSE,NA
China,2020-05-08,1,4702,107,FALSE,NA
France,2020-05-08,242,26233,62,FALSE,NA
Turkey,2020-05-08,48,3689,47,FALSE,NA
UK,2020-05-08,570,44368,61,FALSE,NA
China,2020-05-09,0,4702,108,FALSE,NA
France,2020-05-09,80,26313,63,FALSE,NA
Turkey,2020-05-09,50,3739,48,FALSE,NA
UK,2020-05-09,539,44907,62,FALSE,NA
China,2020-05-10,1,4703,109,FALSE,NA
France,2020-05-10,70,26383,64,FALSE,NA
Turkey,2020-05-10,47,3786,49,FALSE,NA
UK,2020-05-10,494,45401,63,FALSE,NA
China,2020-05-11,1,4704,110,FALSE,NA
France,2020-05-11,263,26646,65,FALSE,NA
Turkey,2020-05-11,55,3841,50,FALSE,NA
UK,2020-05-11,429,45830,64,FALSE,NA
China,2020-05-12,0,4704,111,FALSE,NA
France,2020-05-12,348,26994,66,FALSE,NA
Turkey,2020-05-12,53,3894,51,FALSE,NA
UK,2020-05-12,442,46272,65,FALSE,NA
China,2020-05-13,0,4704,112,FALSE,NA
France,2020-05-13,85,27079,67,FALSE,NA
Turkey,2020-05-13,58,3952,52,FALSE,NA
UK,2020-05-13,454,46726,66,FALSE,NA
China,2020-05-14,0,4704,113,FALSE,NA
France,2020-05-14,351,27430,68,FALSE,NA
Turkey,2020-05-14,55,4007,53,FALSE,NA
UK,2020-05-14,467,47193,67,FALSE,NA
China,2020-05-15,0,4704,114,FALSE,NA
France,2020-05-15,102,27532,69,FALSE,NA
Turkey,2020-05-15,48,4055,54,FALSE,NA
UK,2020-05-15,422,47615,68,FALSE,NA
China,2020-05-16,1,4705,115,FALSE,NA
France,2020-05-16,98,27630,70,FALSE,NA
Turkey,2020-05-16,41,4096,55,FALSE,NA
UK,2020-05-16,419,48034,69,FALSE,NA
China,2020-05-17,0,4705,116,FALSE,NA
France,2020-05-17,483,28113,71,FALSE,NA
Turkey,2020-05-17,44,4140,56,FALSE,NA
UK,2020-05-17,377,48411,70,FALSE,NA
China,2020-05-18,0,4705,117,FALSE,NA
France,2020-05-18,129,28242,72,FALSE,NA
Turkey,2020-05-18,31,4171,57,FALSE,NA
UK,2020-05-18,407,48818,71,FALSE,NA
China,2020-05-19,1,4706,118,FALSE,NA
France,2020-05-19,-217,28025,73,FALSE,NA
Turkey,2020-05-19,28,4199,58,FALSE,NA
UK,2020-05-19,372,49190,72,FALSE,NA
China,2020-05-20,0,4706,119,FALSE,NA
France,2020-05-20,111,28136,74,FALSE,NA
Turkey,2020-05-20,23,4222,59,FALSE,NA
UK,2020-05-20,353,49543,73,FALSE,NA
China,2020-05-21,0,4706,120,FALSE,NA
France,2020-05-21,82,28218,75,FALSE,NA
Turkey,2020-05-21,27,4249,60,FALSE,NA
UK,2020-05-21,343,49886,74,FALSE,NA
China,2020-05-22,0,4706,121,FALSE,NA
France,2020-05-22,148,28366,76,FALSE,NA
Turkey,2020-05-22,27,4276,61,FALSE,NA
UK,2020-05-22,301,50187,75,FALSE,NA
China,2020-05-23,0,4706,122,FALSE,NA
France,2020-05-23,86,28452,77,FALSE,NA
Turkey,2020-05-23,32,4308,62,FALSE,NA
